_id,Program,Project Number,Project Title,Project Description,Area Primary,Area Secondary,Discipline Primary,Discipline Secondary,Round,Approval Date,Lead Research Institution,City,Ontario Commitment,Total Project Costs,Keyword,EXPENDITURE_TYPE,Salutation,First_Name,Middle_Name,Last_Name,OIA_AREA
1390,Ontario Research Fund - Research Infrastructure,26923,Molecular dissection of the invasion machinery required for entry into human red blood cells of the malaria parasite.,"Using state-of-the art molecular techniques, such as reverse genetics and live cell microscopy, the requested infrastructure will enable the researchers to study and decipher the malaria parasite life cycle, by dissecting cell invasion and understanding the proteins that power this process.",4.3,4.1,14500,40100,Small Infrastructure Fund - Round 019 - 2010 - June,2010-09-20T00:00:00,McMaster University,Hamilton,"$308,099","$770,248","",Capital,"",Tim,"",Gilberger,Not Applicable
1391,Ontario Research Fund - Research Infrastructure,26938,The effect of altering afferent input from the spine and limbs on central sensorimotor integration,Chronic neck and upper limb pain affects millions of Ontarians. The Human Neurophysiology and Rehabilitation Lab at UOIT is investigating changes in the way the brain processes sensory information following postural stress and repetitive activity and how this might contribute to pain becoming chronic.,10,4,15100,41800,Small Infrastructure Fund - Round 019 - 2010 - June,2010-09-20T00:00:00,University of Ontario Institute of Technology,Oshawa,"$49,065","$128,384","",Capital,Dr.,Bernadette,"",Murphy,Advanced health technologies
1392,Ontario Research Fund - Research Infrastructure,27018,Coupling Genetic Characterizations of Pathogens and Disease Vectors Towards Understanding Patterns of Wildlife Disease Maintenance and Spread,"Coupling genetic characterizations of wildlife populations and specific pathogens provides further insight into wildlife disease maintenance and spread. For instance, by predicting the ability of wildlife populations to locally adapt to particular pathogen strains from an increasing array of invasive diseases. Specialized molecular equipment within a new Biosafety Level III laboratory to safety screen for disease strains, and a genome sequencer to characterize particular immune gene types in wildlife, will greatly enhance my ability to perform this research and further refine management efforts of collaborative agencies charged with stemming and eradicating the spread of invasive wildlife diseases.",3.7,10,14100,14900,Small Infrastructure Fund - Round 019 - 2010 - June,2010-09-20T00:00:00,Trent University,Peterborough,"$89,728","$225,869","",Capital,Dr.,Christopher,J,Kyle,Not Applicable
1393,Ontario Research Fund - Research Infrastructure,217343,Research Infrastructure for Scientific Computing & Visualization,"The proposed research in scientific computing and visualization will produce new models and algorithms for processing medical images that will help scientists in several fields including surgery, oncology, and biology to understand complex physiological processes.",7.6.3,4.1,11800,12100,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Waterloo,Waterloo,"$94,295","$236,148","",Capital,Dr.,Justin,W.L.,Wan,Advanced health technologies
1394,Ontario Research Fund - Research Infrastructure,217783,Multi-applications photonic device laboratory,This infrastructure will consist of new light sources and detection systems that will allow the Advanced Photonic Components group to extend its photonic device research into new areas of application including biochemical sensing for healthy environment and large-frame structural sensing.,7.9,7,11600,12300,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Carleton University,Ottawa,"$211,414","$534,934","",Capital,Dr.,Albert,"",Jacques,Bio-economy and clean technologies
1395,Ontario Research Fund - Research Infrastructure,219824,Immune cell contributions to the genesis of human hypertension,"This Canada Research Chair will study roles of subsets of Natural Killer and T lymphocytes in promotion of high blood pressure (hypertension). Acutely hypertensive pregnant women before and after treatment, normotensive control pregnant women and mouse models will be studied with the requested equipment.",4,10,41700,14500,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Queen's University,Kingston,"$50,000","$125,000","",Capital,Dr.,Anne,"",Croy,Advanced health technologies
1396,Ontario Research Fund - Research Infrastructure,219904,Satellite Model Testing and Control Simulation,"Dr. Kumar’s research is focused on design, dynamics and control of micro- and macro-spacecraft. The research will lead to the development of innovative technologies for low cost, autonomous, robust, and intelligent spacecraft for remote sensing and power generation missions.",9.2,9.4,11200,18000,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Ryerson University,Toronto,"$111,106","$283,538","",Capital,Dr.,Krishna,Dev,Kumar,Not Applicable
1397,Ontario Research Fund - Research Infrastructure,220084,Polymer Nanomaterial Characterization Facility,"This proposal is to acquire polymer nanomaterial characterization infrastructure for the CRC nominee, Dr. Zhibin Ye, to establish a research program at Laurentian University. The goal of the research is to produce value-added high-performance polymer nanomaterials for use by various industries.",7.4,7.2,10900,13200,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Laurentian University,Sudbury,"$61,768","$180,590","",Capital,Dr.,Zhibin,"",Ye,Not Applicable
1398,Ontario Research Fund - Research Infrastructure,220144,Laurentian University Modernization of Qualitative Research Laboratory,This proposal is to update technology within an existing qualitative research laboratory at Laurentian University. The laboratory enables practice based and applied research by facilitating the observation and video-recording of practitioners’ and participants’ actual discourse.,8.2,8.7,21300,22100,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Laurentian University,Sudbury,"$23,408","$58,521","",Capital,Dr.,Robert,J.,Schinke,Not Applicable
1399,Ontario Research Fund - Research Infrastructure,220224,Enhanced infrastructure for Canada Research Chair in Applied Evolutionary Ecology,"The infrastructure for the Canada Research Chair in Applied Evolutionary Ecology will provide computational resources for data analysis and archiving, enhanced genetics and physiology laboratory resources, and high quality microscopy for sperm analysis.",3.7,6.4,14100,14400,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Laurentian University,Sudbury,"$62,381","$157,348","",Capital,Dr.,Albrecht,"",Schulte-Hostedde,Not Applicable
1400,Ontario Research Fund - Research Infrastructure,220404,High-throughput preparation and storage systems,"These funds will support high-throughput research in evolutionary genetics to understand the Mechanisms of Genome Evolution, the Genetics of Adaptation, and the Genetics of Speciation. The supported infrastructure will enable rapid, bulk sample and media preparation for analysis and storage.",4.9,4,14400,14100,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Toronto,Toronto,"$45,400","$113,500","",Capital,Dr.,Asher,Damon,Cutter,Advanced health technologies
1401,Ontario Research Fund - Research Infrastructure,220984,Advanced Learning Technologies for Classrooms and Knowledge Communities,"A rich platform of cutting-edge technologies will be built for collaborative, inquiry-based learning and instruction, developed within a wider community of learning scientists, where scholars from different institutions jointly develop shared technology frameworks and curriculum activities.",8.1,8.8,21000,11800,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Toronto,Toronto,"$219,400","$548,500","",Capital,Dr.,James,D.,Slotta,Not Applicable
1402,Ontario Research Fund - Research Infrastructure,221024,Behavioural and Neural Correlates of Perceiving People,"My work examines our perceptions of others and how those perceptions influence our thoughts and behaviours. I focus on the accurate judgment of others from their nonverbal behaviour and appearance, showing that first impressions have important consequences for the mind, brain, and society.",8.8,10,22100,15100,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Toronto,Toronto,"$100,000","$250,000","",Capital,Dr.,Nicholas,O.,Rule,Not Applicable
1403,Ontario Research Fund - Research Infrastructure,222084,Imaging of Bone Structure Using Micro-Computed Tomography,"Dietary strategies that reduce the risk of debilitating fractures during aging will be developed. Micro-computed tomography identifies critical information about bone structure. It can also identify how diet during infancy and childhood promotes development of strong, healthy bones by adulthood.",4.5,4.2,40600,41800,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Brock University,St.Catharines,"$115,000","$287,500","",Capital,Dr.,Wendy,E.,Ward,Advanced health technologies
1404,Ontario Research Fund - Research Infrastructure,25816,Computational Geophysics Laboratory at Western,"The Computational Geophysics Laboratory (CGL) will provide infrastructure to facilitate the computational study and modelling of a spectrum of geophysical phenomena, providing research opportunities in resource exploration, and in the forecast and mitigation of natural hazards.",1,1.7,13700,11800,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,The University of Western Ontario,London,"$139,946","$349,866","",Capital,Dr.,Robert,"",Shcherbakov,Not Applicable
1405,Ontario Research Fund - Research Infrastructure,26147,Pathogenic Bacteria Membrane Protein Purification and Crystallization Facility,"Using structural biology approaches, Dr. Moraes elucidates the three dimensional visualization of membrane proteins at atomic resolution. These snapshots of the membrane proteins, coupled with biochemical characterization, will provide an understanding of how these proteins function to aid in bacterial pathogenesis and virulence. Dr. Moraes’ research will determine how these bacterial membrane proteins function, which lays the groundwork for designing novel antimicrobials, therapeutics and/or vaccines use against bacterial pathogens.",4.1,4.3,14800,14600,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Toronto,Toronto,"$74,390","$178,578","",Capital,Dr.,Trevor,"",Moraes,Advanced health technologies
1406,Ontario Research Fund - Research Infrastructure,26202,Renewable Bioactives from cereal byproducts and fruit leftovers/wastes,"Investigate the potential of peptides and oligosaccharides from grain and fruit processing by-products for the production of value-added ingredients that prevent and contribute to the management of inflammation and oxidative stress and therefore, improving intestinal and cardiovascular health.",7.10,4,15000,14700,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Carleton University,Ottawa,"$148,378","$373,440","",Capital,Dr.,Apollinaire,"",Tsopmo,Advanced health technologies
1407,Ontario Research Fund - Research Infrastructure,26503,The Protein Engineering and Computational Protein Design Laboratory,The proposed research focuses on the development of useful proteins for their application in chemistry and biology using state-of-the-art protein engineering and computational protein design techniques.,7.4,4.3,14800,13100,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Ottawa,Ottawa,"$239,945","$599,862","",Capital,Dr.,Roberto,"",Chica,Not Applicable
1408,Ontario Research Fund - Research Infrastructure,26758,State-of-the-Art Measurement Systems to Transform the Health and Well-Being of Urban Neighbourhoods,"The research will document how urban neighbourhoods shape residents’ health and well-being. Combining the study of video data on neighbourhood characteristics in a virtual 3D environment with surveys, insights will be gained to reduce social inequalities and improve population health.",4,8.8,42400,21600,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,McMaster University,Hamilton,"$207,423","$518,534","",Capital,Dr.,James,R.,Dunn,Not Applicable
1409,Ontario Research Fund - Research Infrastructure,26759,Brain Metal Imaging Laboratory,"This research will develop imaging methods to accurately detect trace metals, including iron and manganese, in normal and diseased brains.  This will lead to a better understanding of the role of metals in serious neurological disorders and suggest effective treatments for patients.",4.3,4.9,11000,15200,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,McMaster University,Hamilton,"$120,000","$342,176","",Capital,Dr.,Nicholas,Adam,Bock,Advanced health technologies
1410,Ontario Research Fund - Research Infrastructure,26973,Local Indicators Database for Economic Analysis (Local IDEAs),This project will construct an information database by assembling key statistical indicators at the city-region level in Canada. It will include a research tool to analyze the extensive set of indicators in the database to address key questions about the social and economic performance of city-regions.,7.1,8,13400,22800,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Toronto,Toronto,"$160,000","$400,000","",Capital,Dr.,David,A,Wolfe,Not Applicable
1411,Ontario Research Fund - Research Infrastructure,26988,Lentiviral-mediated RNAi technology and high-content screening to systematically analyze programmed cell death in cancer cells,The research seeks to identify new specific targets for the treatment of cancer and to improve the therapeutic impact of current treatments.  By using Lentiviruses to shut off genes we will identify the genes required for cells to respond to or evade current chemotherapy drugs.,4.9,4,14500,14800,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,McMaster University,Hamilton,"$200,000","$500,000","",Capital,Dr.,David,"",Andrews,Advanced health technologies
1412,Ontario Research Fund - Research Infrastructure,27195,Laboratory for Architecture Intelligence Research (LAIR),"LAIR will explore the wide-ranging opportunities that embedded computation and responsive systems bring to the field of architecture, landscape and urban design. The laboratory activities will focus on the design, fabrication, and testing of full-scale working prototypes of high performance building systems and responsive environments.",2.2,7.14,30100,30100,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Toronto,Toronto,"$100,000","$270,517","",Capital,Dr.,Carol,"",Moukheiber,Not Applicable
1413,Ontario Research Fund - Research Infrastructure,27235,Laboratory for Neural Circuits and Cognitive Control,"The applicants will establish a novel laboratory that employs multiple-electrode neurophysiology in nonhuman primates to study local and large- scale neural circuits that underlie the cognitive control of behaviour, and understand how alterations in these circuits lead to cognitive dysfunctions in psychiatric disorders.",4,4.1,41000,15100,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,The University of Western Ontario,London,"$318,272","$795,680","",Capital,Dr.,Stefan,"",Everling,Advanced health technologies
1414,Ontario Research Fund - Research Infrastructure,27270,Molecular Characterization of Proteins Critical to Xenobiotic Disposition and Cancer: Enhanced Detection and Quantitation,"The design of more effective, targeted cancer therapies will rely on a molecular-level understanding of how cellular proteins interact with and metabolize carcinogens and therapeutic agents.  Enhanced mass spectrometry methods for proteomics-based research are critical tools in these investigations.",4.9,4.1,5000,42700,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Queen's University,Kingston,"$400,000","$1,000,000","",Capital,Dr.,Susan,"",Cole,Advanced health technologies
1415,Ontario Research Fund - Research Infrastructure,27275,Targeting receptor-receptor interaction for development of novel therapeutics to treat neuropsychiatric diseases,"Dr. Liu is responsible for the discovery of key protein peptides that specifically target brain pathways involved in certain illnesses. She will identify and validate small molecules that exert the same effect as these peptides, enabling new treatments for stroke, nicotine addiction, schizophrenia and depression.",4,4.6,40000,40800,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Centre for Addiction and Mental Health,Toronto,"$258,111","$694,837","",Capital,Dr.,Fang,"",Liu,Advanced health technologies
1416,Ontario Research Fund - Research Infrastructure,27300,Applied Biotechnology Laboratory,"The project seeks funding for an advanced applied biotechnology lab for the biochemical production of fuels and chemicals from renewable, non-food resources. It will enable micro-scale screening in oxygen-free environments, followed by process characterisation at bench-scale and scale-up to pilot scale.",5.5,6.4,10900,11400,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,The University of Western Ontario,London,"$299,474","$748,685","",Capital,Prof.,Lars,"",Rehmann,Bio-economy and clean technologies
1417,Ontario Research Fund - Research Infrastructure,27305,Advanced Microstructure Characterization Lab,"The aim of the proposed research is to test nuclear materials through the investigation of irradiation induced microstructures and correlate structure factors with mechanical degradation of nuclear materials, which will further our understanding of irradiation and  lead to the development and design of future nuclear materials.",5.2,5.4,11500,11100,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Queen's University,Kingston,"$125,000","$312,500","",Capital,Dr.,Zhongwen,"",Yao,Not Applicable
1418,Ontario Research Fund - Research Infrastructure,27330,Research Facility for Global Change Molecular Physiology of Trees,"The research facility for Global Change Molecular Plant Physiology will support Ingo Ensminger’s research on the mechanisms controlling the responses of trees to changing climate - from molecular, to species to ecosystem levels and to answer the question of how trees will respond to climate change.",6.3,6,14300,40600,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Toronto,Toronto,"$198,924","$497,334","",Capital,Dr.,Ingo,"",Ensminger,Bio-economy and clean technologies
1419,Ontario Research Fund - Research Infrastructure,27340,Early detection of deterioration mechanisms for civil infrastructure,The proposed research program will develop models that will allow engineers to better determine the effects of complex deterioration mechanisms on Ontario’s aging infrastructure. This research will be supported by the acquisition of two new sensor systems that will provide high quality data to determine the structural response to deterioration. The research will also be enhanced by renovations to lab space that will support precision testing and instrumentation of specimens as well as long-term load testing to determine the effects of sustained loading on structural deterioration.,2.2,2.8,10200,10100,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Queen's University,Kingston,"$130,000","$325,000","",Capital,Dr.,Neil,Anthony,Hoult,Not Applicable
1420,Ontario Research Fund - Research Infrastructure,27562,Integrated Field- and Laboratory-Based Mapping Facility for Active Faults and Landscape Evolution,Mapping the location and determining how fast faults are moving is crucial both to determining seismic hazard and to understanding the nature of climate-tectonic interactions. An integrated field and laboratory mapping facility to an accurate determination of fault slip rates.,1.3,10,13300,13300,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Toronto,Toronto,"$64,096","$160,240","",Capital,Dr.,Lindsay,"",Schoenbohm,Not Applicable
1421,Ontario Research Fund - Research Infrastructure,27566,Facility for electrochemical engineering of advanced energy conversion systems,"The research program addresses environmentally important issues through combined fundamental and applied research related to the development of nanostructured electrodes for proton-exchange membrane fuel cells, electrochemical promotion of catalysis and Lithium-ion batteries.",3,7.2,10900,11400,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Ottawa,Ottawa,"$87,249","$218,123","",Capital,Dr.,Elena,"",Baranova,Bio-economy and clean technologies
1422,Ontario Research Fund - Research Infrastructure,27581,Solar Energy Systems Laboratory,"The scope of the proposed infrastructure is aimed at discovering innovative concepts to significantly increase the use of solar energy in buildings, and improve the design and integration of these technologies into conventional building systems and facilitate their installation.",5.5,5.6,11400,11200,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Carleton University,Ottawa,"$150,000","$376,789","",Capital,Dr.,Cynthia,"",Cruickshank,Bio-economy and clean technologies
1423,Ontario Research Fund - Research Infrastructure,27591,Cellular and Molecular Neuroendocrinology Laboratory,"The main objective of this proposal is to establish a world class, state-of-the art facility to study hormones that regulate food intake, body weight and blood glucose levels. The three key elements of this research are: significant improvement to existing knowledge, tremendous opportunities for training highly qualified personnel and the potential to translate research findings for human benefit. The outcome of this research will help Ontarians to develop treatment strategies for obesity and diabetes, and to enhance aquaculture productivity.",4.9,6.2,14900,40300,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,York University,Toronto,"$94,652","$236,631","",Capital,Dr.,Suraj,"",Unniappan,Advanced health technologies
1424,Ontario Research Fund - Research Infrastructure,27616,"Compression, Transmission and Representation of 3D video over networks","The proposed research will provide a facility for developing state of the art solutions for 3D video acquisition, compression and transmission. It will lead to new breakthroughs in applications such as interactive mobile video conferencing and broadcasting live TV programs to millions of consumers over Internet.",2.5,2.2,11600,11600,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Toronto,Toronto,"$99,984","$249,960","",Capital,Dr.,Ashish,Jagadish,Khisti,Digital media and information and communications technologies
1425,Ontario Research Fund - Research Infrastructure,27682,The Organization of Verbal Memory in the Human Brain,"The goal of the project is to investigate the way in which verbal memories are stored, maintained, and accessed in the brain. The neural systems that underlie memory for verbal information will be examined using neuroimaging tools to uncover how neural systems function to support memory for speech.",4.3,4,22100,22100,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,Baycrest Centre for Geriatric Care,Toronto,"$61,618","$154,296","",Capital,Dr.,Bradley,"",Buchsbaum,Advanced health technologies
1426,Ontario Research Fund - Research Infrastructure,27751,Infrastructure for Macromolecular Crystallography,"This project will upgrade the X-ray facility for macromolecular crystallography at the University of Toronto by replacing outdated and adding urgently needed infrastructure equipment. It will advance work on antibodies interacting with HIV, HCMV and BSE-causing prions as well as membrane proteins.",4.9,3,14800,40100,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,University of Toronto,Toronto,"$180,000","$454,097","",Capital,Dr.,Emil,"",Pai,Advanced health technologies
1427,Ontario Research Fund - Research Infrastructure,27796,Plant Growth and Molecular Profiling Facility,"We are using state-of-the-art genomics technologies to study a native plant (Thellungiella salsuginea) that thrives in an environment prone to drought, cold temperatures, and low soil fertility.  Genes we identify will be used to design crops with improved performance under poor growing conditions.",6.1,6.3,14800,14300,Small Infrastructure Fund - Round 020 - 2010 - October,2011-03-04T00:00:00,McMaster University,Hamilton,"$100,000","$258,155","",Capital,Dr.,Elizabeth,A.,Weretilnyk,Bio-economy and clean technologies
1428,Ontario Research Fund - Research Infrastructure,26593,Cooperative mining machines research test-bed,There is an unexplored opportunity in the combination of ideas from the emerging field of cooperative control with real problems in mining machine coordination.  The proposed research aims to study the potential for cooperative behaviour in mining toward improving the safety and productivity of operations.,7,1,11700,10500,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,Queen's University,Kingston,"$150,000","$440,188","",Capital,Dr.,Joshua,"",Marshall,Not Applicable
1429,Ontario Research Fund - Research Infrastructure,27360,Mechanical and spectroscopic properties of nanoscale soft materials,"The infrastructure will enable new research on soft material properties on the nanoscale or with nanoscale precision. This research will characterise new material properties not observed on macroscopic samples, and will investigate the interaction of proteins with nanoscale objects.",7.2,7.4.2,12700,11100,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Waterloo,Waterloo,"$100,000","$436,907","",Capital,"",James,"",Forrest,Not Applicable
1430,Ontario Research Fund - Research Infrastructure,27722,Developmental Cognitive Neuroscience Laboratory for Theoretical and Applied Neuroeducation Research,"A laboratory for research on education and the brain is proposed, including equipment for measuring brain electrical activity and eye movements. Resulting neuroeducation research will inform educational practice and policy, through increased understanding of cognitive flexibility, learning, and memory.",8.1,8.2,22100,21000,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,York University,Toronto,"$100,777","$253,675","",Capital,Dr.,Nicholas,"",Cepeda,Advanced health technologies
1431,Ontario Research Fund - Research Infrastructure,27746,Laboratory for Applied Single-Molecule Biophysics,"The proposed research program is dedicated to the development of novel techniques and methods to manipulate and characterize single-molecules using nanoscale devices, and to translate these discoveries into new tools for the life sciences.",4,4.3,12300,11100,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Ottawa,Ottawa,"$160,871","$402,176","",Capital,"",Vincent,"",Tabard-Cossa,Not Applicable
1432,Ontario Research Fund - Research Infrastructure,27851,Experimental channel for river hydraulics,The objective of this proposal is to build an experimental river channel equipped with cutting-edge instrumentation.  This infrastructure will propel research into new topics in sediment transport and flow turbulence as a means of improving the management and restoration of degraded river systems.,3,2.3,11300,10600,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Waterloo,Waterloo,"$50,000","$126,815","",Capital,Dr.,Bruce,"",MacVicar,Bio-economy and clean technologies
1433,Ontario Research Fund - Research Infrastructure,27871,Groundwater-Coastal Water Interactions Laboratory,This proposal seeks infrastructure to enhance understanding of the interactions between groundwater and coastal waters. This is urgently required to develop effective policy and management actions to protect coastal areas and waters that are critical to the well-being and health of Ontarians.,3,3.1,10600,13900,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,The University of Western Ontario,London,"$222,982","$557,454","",Capital,Dr.,Clare,Elizabeth,Robinson,Bio-economy and clean technologies
1434,Ontario Research Fund - Research Infrastructure,27881,"High resolution real-time 3D imaging of bacterial infection in living hosts:
Investigation of blood-borne dissemination mechanisms of the Lyme disease pathogen",Hematogenous (blood-borne) dissemination is a critical but poorly understood stage of many infectious diseases. The proposed project will use recently developed intravital microscopy approaches to study dissemination mechanisms of the Lyme disease bacterium Borrelia burgdorferi and other pathogens.,4.9,4,40100,40700,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Toronto,Toronto,"$249,292","$637,024","",Capital,Dr.,Tara,"",Moriarty,Advanced health technologies
1435,Ontario Research Fund - Research Infrastructure,28001,Laboratory for Rare Stable Isotope Research,A state-of-the-art analytical facility for rare stable isotope research will be established at McMaster University to conduct leading-edge research on Earth’s past and current environmental changes by developing environmental proxies and documenting climate changes from the prehistoric world.,1,3.10,13300,13600,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,McMaster University,Hamilton,"$240,000","$676,903","",Capital,"",Sang-Tae,"",Kim,Bio-economy and clean technologies
1436,Ontario Research Fund - Research Infrastructure,28046,Peptide-Based Molecular Imaging Agents,"The Molecular Imaging Synthesis Lab will allow the research group of Dr. Luyt to discover peptide-based compounds that target cancer and will lead to the development of non-invasive imaging agents resulting in earlier cancer diagnosis, more accurate disease staging and superior treatment monitoring.",7.4.2,4.1,13100,40900,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,The University of Western Ontario,London,"$281,183","$702,956","",Capital,Dr.,Leonard,George,Luyt,Advanced health technologies
1437,Ontario Research Fund - Research Infrastructure,28061,"Advanced Membrane Bioreactor (MBR) Process Lab for Wastewater Treatment, Reuse, and Energy Recovery","This project proposes to build a process lab to conduct fundamental process research for the development of innovative membrane bioreactor technology for the wastewater treatment, reuse, and energy recovery.",3,3.10,10600,13100,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Guelph,Guelph,"$124,681","$311,944","",Capital,Dr.,Sheng,"",Chang,Bio-economy and clean technologies
1438,Ontario Research Fund - Research Infrastructure,28081,Laboratoire des français d’Amérique,"The Laboratoire des français d’Amérique will examine linguistic practices and identities with which Francophone communities have associated themselves from the 17th century to the 21st century. An extensive language engineering program supports this research, to help identify the specifics of French in North America.",8.2,8.7,21900,21700,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Ottawa,Ottawa,"$154,858","$387,146","",Capital,"",France,"",Martineau,Not Applicable
1439,Ontario Research Fund - Research Infrastructure,28141,Resources and Sustainable Development in the Arctic,This proposal seeks to support the establishment of a Northern Social Science Laboratory at Lakehead University and smaller regional social science laboratories at northern research centres. The laboratories will support the work of the Resources and Sustainable Development in the Arctic (ReSDA) proposal currently being considered under the SSHRC MCRI program.,2.7,1.7,20001,22800,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,Lakehead University,Thunder Bay,"$87,256","$218,141","",Capital,"",Christopher,"",Southcott,Bio-economy and clean technologies
1440,Ontario Research Fund - Research Infrastructure,28166,Characterizing flavours in foods,The objective of the proposal is to acquire infrastructure which will be used to identify and quantify volatile flavours released during chewing. These volatiles will be related to trained sensory panel data to identify important compounds contributing to flavours in foods.,7.10,6.1,15000,12900,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Guelph,Guelph,"$124,307","$310,768","",Capital,"",Lisa,"",Duizer,Not Applicable
1441,Ontario Research Fund - Research Infrastructure,28176,Multidisciplinary Laboratory for Innovative Catalytic Science,This project enables the initiation of the Multidisciplinary Laboratory for Innovative Catalytic Science. The mission is to deepen the understanding of fundamental knowledge and provide molecular solutions and technologies to address the grand challenges in the fields of energy and environmental science.,5.5,7.4,11400,10900,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Toronto,Toronto,"$191,136","$477,840","",Capital,"",Ya-Huei,Cathy,Chin,Bio-economy and clean technologies
1442,Ontario Research Fund - Research Infrastructure,28206,Integrative & Innovative Biodiversity Analysis from the Tundra to the Tropics,"Sarah Adamowicz, Mehrdad Hajibabaei, and Alexander Smith study broad biodiversity patterns from tundra to tropical environments. They use innovative genetic tools to investigate cryptic species diversity, trophic structure, latitudinal patterns, and the ecosystems and control mechanisms of forestry pests.",3.7,3.10,14100,14400,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Guelph,Guelph,"$374,919","$937,299","",Capital,Dr.,M. Alexander,Alexander,Smith,Bio-economy and clean technologies
1443,Ontario Research Fund - Research Infrastructure,28296,Identifying hippocampal neural circuits underlying anxiety,"Anxiety is an emotional state that arises in anticipation of future or potential threat. Using the mouse as a model organism, the proposed study employs various genetic approaches to identify hippocampal circuits underlying anxiety and understand how they control anxiety-related behaviours.",4.9,4,14400,14900,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Toronto,Toronto,"$200,000","$500,000","",Capital,"",Junchul,"",Kim,Advanced health technologies
1444,Ontario Research Fund - Research Infrastructure,28336,Laboratory for the Study of Adaptive Development and Emotions in Children and Youth,The main aim of the proposed Laboratory for Adaptive Development and Emotions in Children and Youth is to crucially advance our understanding of the role of emotions in children’s and adolescents’ maladaptive and adaptive mental health outcomes.,4.9,8.7,22100,21000,Small Infrastructure Fund - Round 021 - 2011 - February,2011-06-27T00:00:00,University of Toronto,Toronto,"$23,716","$59,290","",Capital,Prof.,Tina,"",Malti,Advanced health technologies
